"","link","Brand","Model","Year","Engine","Body type","Doors","Seats","Length","Width","Height","Wheelbase","Weight","Max width","Boot capacity","Engine kw","Engine hp","Torque","Fuel supply","Cylinders","Cylinders diameter","Valves in cylinders","Gears","Fuel","Fuel capacity","Eco standart","ABS","Front brakes","Rear brakes","Tires","Wheels","Max speed","Acceleration","Fuel town","Fuel road","Fuel average"
"178","https://www.car-info.com/en/model/porsche/panamera/panamera-i-facelift/turbo-executive-4-8-at-520-hp-4wd","Porsche","Panamera I Facelift","2013  - ","4806","Fastback","5","4","5165 mm","1931 mm","1425 mm","3070","1425 kg","2560 kg","126 l","381 kw","511 hp","381 N*m/rpm","Injection ","8","-","4","7","A-98","100 liters","-","-","-","-","255/45 R19; 285/40 R19","-","305 km/h","4.2 s","14.9 l/100km","7.8 l/100km","10.3 l/100km"
"179","https://www.car-info.com/en/model/porsche/panamera/panamera-i-facelift/turbo-s-executive-4-8-at-570-hp-4wd","Porsche","Panamera I Facelift","2013  - ","4806","Fastback","5","4","5165 mm","1931 mm","1425 mm","3070","1425 kg","2560 kg","126 l","418 kw","560 hp","418 N*m/rpm","Injection ","8","96,0 mm","4","7","A-98","100 liters","-","-","-","-","255/45 R19; 285/40 R19","-","310 km/h","3.9 s","14.9 l/100km","7.8 l/100km","10.3 l/100km"
"180","https://www.car-info.com/en/model/porsche/panamera/panamera-gts/4-8-v8-430-hp","Porsche","Panamera GTS","2012  - -","4806","SUV","-","-","4970 mm","1931 mm","1408 mm","2920","1408 kg","2480 kg","-","315 kw","422 hp","315 N*m/rpm","Injection ","-","-","-","-","A-98","100 liters","-","-","-","-","-","-","288 km/h","4.5 s","16.1 l/100km","8 l/100km","10.9 l/100km"
"181","https://www.car-info.com/en/model/porsche/panamera/panamera-diesel/3-0-tdi-v6-250hp-1","Porsche","Panamera Diesel","2011  - -","2967","SUV","-","-","4970 mm","1913 mm","1418 mm","2920","1418 kg","2365 kg","-","183 kw","245 hp","183 N*m/rpm","Common rail ","-","-","-","-","Diesel","80 liters","-","Yes","-","-","245/50 R18  -  275/45 R18","-","242 km/h","6.8 s","8.1 l/100km","5.6 l/100km","6.5 l/100km"
"182","https://www.car-info.com/en/model/porsche/panamera/panamera/3-6-v6-300-hp-1","Porsche","Panamera","2010  - -","3605","SUV","4","4","4970 mm","1913 mm","1418 mm","2920","1418 kg","-","-","220 kw","295 hp","220 N*m/rpm","Injection ","6","-","4","6","-","80 liters","-","Yes","-","-","245/50R18W ?????, 275/45R18 ???","-","261 km/h","6.8 s","16.4 l/100km","7.8 l/100km","11.3 l/100km"
"183","https://www.car-info.com/en/model/porsche/panamera/panamera/3-6-v6-300-hp-4wd","Porsche","Panamera","2010  - -","3605","Coupe","4","4","4970 mm","1913 mm","1418 mm","2920","1418 kg","2365 kg","-","220 kw","295 hp","220 N*m/rpm","Injection ","6","-","4","6","-","80 liters","-","Yes","-","-","245/50R18W ?????, 275/45R18 ???","-","261 km/h","6.8 s","16.4 l/100km","7.8 l/100km","11.3 l/100km"
"184","https://www.car-info.com/en/model/porsche/panamera/panamera/4-8-v8-4s-400-hp-pdk","Porsche","Panamera","2009  - -","4806","Coupe","4","4","4970 mm","1913 mm","1418 mm","2920","1418 kg","2440 kg","-","293 kw","393 hp","293 N*m/rpm","Injection ","8","-","4","7","A-98","100 liters","-","Yes","-","-","245/50R18W ?????, 275/45R18 ???","-","282 km/h","5 s","16.4 l/100km","8.1 l/100km","11.1 l/100km"
"185","https://www.car-info.com/en/model/porsche/panamera/panamera/4-8-v8-s-400-hp","Porsche","Panamera","2009  - -","4806","Coupe","4","4","4970 mm","1913 mm","1418 mm","2920","1418 kg","2375 kg","-","293 kw","393 hp","293 N*m/rpm","Injection ","8","-","4","6","A-98","80 liters","-","Yes","-","-","245/50R18W ?????, 275/45R18 ???","-","285 km/h","5.6 s","18.8 l/100km","8.9 l/100km","12.5 l/100km"
"186","https://www.car-info.com/en/model/porsche/panamera/panamera/4-8-v8-s-400-hp-pdk","Porsche","Panamera","2009  - -","4806","Coupe","4","4","4970 mm","1913 mm","1418 mm","2920","1418 kg","2405 kg","-","293 kw","393 hp","293 N*m/rpm","Injection ","8","-","4","7","A-98","80 liters","-","Yes","-","-","245/50R18W ?????, 275/45R18 ???","-","283 km/h","5.4 s","16 l/100km","7.9 l/100km","10.8 l/100km"
"187","https://www.car-info.com/en/model/porsche/panamera/panamera/4-8-v8-turbo-500-hp-pdk","Porsche","Panamera","2009  - -","4806","Coupe","4","4","4970 mm","1913 mm","1418 mm","2920","1418 kg","2500 kg","-","367 kw","492 hp","367 N*m/rpm","Injection ","8","-","4","7","A-98","100 liters","-","Yes","-","-","255/45 ZR 19 ?????, 285/40 ZR 19 ???"," 9 J x 19 ET60 ?????, 10 J x 19 ET61 ??? ","303 km/h","4.2 s","18 l/100km","8.9 l/100km","12.2 l/100km"
