"","link","Brand","Model","year","Engine","body_type","Wheelbase","fuel_supply","valves_in_cylinders","Fuel","eco_standart","ABS","front_brakes","rear_brakes","length","width","height","weight","max_width","boot_capacity","engine_kw","engine_hp","torque","cylinders_diameter","fuel_capacity","max_speed","acceleration","fuel_town","fuel_road","fuel_avg","doors","seats","cylinders","gears","tires","wheels"
"110","https://www.car-info.com/en/model/porsche/boxster/boxster-987/3-2-boxter-s-mt-280-hp","Porsche","Boxster (987)","2004  ",3179,"Coupe",2415,"Injection ","4","A-98",NA,"Yes",NA,NA,4329,1801,1295,1295,1630,NA,205,275,205,NA,64,268,5.5,15.21,7.71,10.41,"2","2","6","6","205/55",NA
"111","https://www.car-info.com/en/model/porsche/boxster/boxster-987/3-4-boxter-s-at-295-hp","Porsche","Boxster (987)","2006  ",3387,"Coupe",2415,"Injection ","4","A-95",NA,"Yes",NA,NA,4329,1801,1295,1295,1670,NA,216,289,216,96,64,264,6.1,16.31,7.91,11100,"2","2","6","5","235/40",NA
"112","https://www.car-info.com/en/model/porsche/boxster/boxster-987/3-4-boxter-s-mt-295-hp","Porsche","Boxster (987)","2006  ",3387,"Coupe",2415,"Injection ","4","A-95",NA,"Yes",NA,NA,4329,1801,1295,1295,1630,NA,216,289,216,96,64,272,5.4,15.31,7.81,10.61,"2","2","6","6","235/40",NA
"113","https://www.car-info.com/en/model/porsche/boxster/boxster-987/2-9i-255hp","Porsche","Boxster (987)","2009  ",2893,"Coupe",2415,"Injection ",NA,"A-98",NA,"Yes",NA,NA,4329,1801,1295,1295,1640,NA,187,251,187,NA,64,263,5.9,15.21,7.71,10.41,NA,NA,NA,NA,"205/55",NA
"114","https://www.car-info.com/en/model/porsche/boxster/boxster-987/spyder-3-4i-320hp","Porsche","Boxster (987)","2009  ",3436,"Coupe",2415,"Injection ",NA,"A-95",NA,"Yes",NA,NA,4329,1801,1295,1295,1630,NA,235,315,235,NA,64,267,5.1,NA,NA,NA,NA,NA,NA,NA,"235/40",NA
"115","https://www.car-info.com/en/model/porsche/boxster/boxster-986/2-5-boxer-24v-204-hp","Porsche","Boxster (986)","1996  ",2480,"Coupe",2415,"Injection ","4","A-98",NA,"Yes",NA,NA,4315,1780,1290,1290,1560,NA,150,201,150,855,57,240,6.9,14.31,7.11,NA,"2","2","6","5","225/50",NA
"116","https://www.car-info.com/en/model/porsche/boxster/boxster-986/2-7-boxer-24v-220-hp","Porsche","Boxster (986)","1996  ",2687,"Cabrio",2415,"Injection ","4","A-98",NA,"Yes",NA,NA,4315,1780,1290,1290,1570,NA,161,216,161,855,64,250,6.6,13.41,7.41,9.91,"2","2","6","5","205/55",NA
"117","https://www.car-info.com/en/model/porsche/boxster/boxster-986/2-7-boxter-24v-228-hp","Porsche","Boxster (986)","2002  ",2687,"Cabrio",2415,"Injection ","4","A-98",NA,"Yes",NA,NA,4320,1780,1290,1290,1600,NA,167,224,167,855,64,253,6.4,14.21,7.11,9.71,"2","2","6","5","205/55-225/50",NA
"118","https://www.car-info.com/en/model/porsche/boxster/boxster-986/3-2-boxer-s-24v-252-hp","Porsche","Boxster (986)","1996  ",3179,"Cabrio",2415,"Injection ","4","A-98",NA,"Yes",NA,NA,4315,1780,1290,1290,1615,NA,185,248,185,93,64,260,5.9,15.61,7.81,10.71,"2","2","6","6","205/50",NA
"119","https://www.car-info.com/en/model/porsche/boxster/boxster-986/3-2-boxter-s-24v-260-hp","Porsche","Boxster (986)","2002  ",3179,"Cabrio",2415,"Injection ","4","A-98",NA,"Yes",NA,NA,4320,1780,1290,1290,1630,NA,191,256,191,93,64,264,5.7,15.31,7.81,NA,"2","2","6","6","205/55-225/40",NA
"120","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii-facelift-958/diesel-3-0d-at-211-hp-4wd","Porsche","Cayenne II Facelift (958)","2014  ",2967,"SUV",2895,"Common rail ","4","Diesel","Euro 5",NA,NA,NA,4855,1939,1705,1705,2870,1780,155,208,155,NA,85,209,8.5,NA,NA,NA,"5","5","6","8","255/55","8Jx18"
"121","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii-facelift-958/diesel-3-0d-at-245-hp-4wd","Porsche","Cayenne II Facelift (958)","2014  ",2967,"SUV",2895,"Common rail ",NA,"Diesel","Euro 5",NA,NA,NA,4855,1939,1705,1705,2860,1780,180,241,180,NA,98,218,7.8,NA,NA,NA,"5","5","6","8","255/55","8Jx18"
"122","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii-facelift-958/diesel-3-0d-at-262-hp-4wd","Porsche","Cayenne II Facelift (958)","2014  ",2967,"SUV",2895,"Common rail ","4","Diesel","Euro 5",NA,NA,NA,4855,1939,1705,1705,2870,1780,192,257,192,NA,85,221,7.3,NA,NA,NA,"5","5","6","8","255/55","8Jx18"
"123","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii-facelift-958/s-e-hybrid-3-0hyb-at-333-hp-4wd","Porsche","Cayenne II Facelift (958)","2014  ",2995,"SUV",2895,"Injection ","4","A-95",NA,NA,NA,NA,4855,1939,1705,1705,3050,1780,244,327,244,NA,80,243,5.9,NA,NA,NA,"5","5","6","8","255/55","8Jx18"
"124","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii-facelift-958/s-3-6-at-420-hp-4wd","Porsche","Cayenne II Facelift (958)","2014  ",3604,"SUV",2895,"Injection ","4","A-95",NA,NA,NA,NA,4846,1939,1705,1705,2860,1780,308,413,308,NA,85,259,5.5,13100,8100,NA,"5","5","6","8","255/55","8Jx18"
"125","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii-facelift-958/gts-3-6-at-440-hp-4wd","Porsche","Cayenne II Facelift (958)","2014  ",3604,"SUV",2895,"Injection ","4","A-95",NA,NA,NA,NA,4846,1939,1705,1705,2865,1780,323,433,323,NA,85,262,5.2,NA,NA,10100,"5","5","6","8","255/55","8Jx18"
"126","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii-facelift-958/s-diesel-4-1d-at-385-hp-4wd","Porsche","Cayenne II Facelift (958)","2014  ",4134,"SUV",2895,"Common rail ","4","Diesel",NA,NA,NA,NA,4855,1939,1699,1699,2955,1780,282,378,282,NA,85,252,5.4,10100,7100,8100,"5","5","8","8",NA,NA
"127","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii-facelift-958/turbo-4-8-at-520-hp-4wd","Porsche","Cayenne II Facelift (958)","2014  ",4806,"SUV",2895,"Injection ","4","A-98",NA,NA,NA,NA,4855,1939,1702,1702,2895,1780,381,511,381,NA,100,279,4.5,NA,NA,NA,"5","5","8","8","265/50","8.5Jx19"
"128","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii/3-0s-hybrid-333hp-47hp","Porsche","Cayenne II","2010  ",2995,"Cabrio",2895,"Injection ","4","A-95",NA,NA,NA,NA,4846,2155,1705,1705,2910,NA,244,327,244,NA,100,242,6.5,8.71,7.91,8.21,"4","5","6","8","255/55","8Jx18"
"129","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii/3-0td-240hp","Porsche","Cayenne II","2010  ",2967,"Wagon",2895,"Common rail ",NA,"Diesel",NA,NA,NA,NA,4846,2155,1705,1705,2860,NA,176,236,176,NA,98,218,7.8,8.71,6.61,7.41,"4","5","6","8","255/55","8Jx18"
"130","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii/3-6i-v6-300hp","Porsche","Cayenne II","2010  ",3598,"Wagon",2895,"Injection ",NA,"A-95",NA,NA,NA,NA,4846,2155,1705,1705,2765,NA,220,295,220,NA,100,230,7.5,15.91,8.41,11.21,"4","5","6","6","255/55","8Jx18"
"131","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii/4-8s-v8-400hp","Porsche","Cayenne II","2010  ",4806,"Wagon",2895,"Injection ","4","A-98",NA,NA,NA,NA,4846,2155,1705,1705,2840,NA,293,393,293,NA,100,258,5.9,14.51,8.21,10.51,"4","5","8","8","255/55","8Jx18"
"132","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii/4-8t-v8-500hp","Porsche","Cayenne II","2010  ",4806,"Wagon",2895,"Injection ","4","A-98",NA,NA,NA,NA,4846,2155,1702,1702,2880,NA,367,492,367,NA,115,278,4.7,16.21,8.81,11.51,"4","5","8","8","265/50","8.5Jx19"
"133","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii/gts-4-8i-420hp","Porsche","Cayenne II","2010  ",4806,"Coupe",2895,"Injection ",NA,"A-98",NA,NA,NA,NA,4846,1939,1705,1705,2840,NA,308,413,308,96,85,261,5.7,14.81,8.51,10.71,NA,NA,NA,NA,"275/45",NA
"134","https://www.car-info.com/en/model/porsche/cayenne/cayenne-ii/turbo-s-4-8i-v8-550hp","Porsche","Cayenne II","2010  ",4806,"SUV",2895,"Injection ",NA,"A-98",NA,NA,NA,NA,4846,2155,1702,1702,2880,NA,403,540,403,NA,85,283,4.5,15.81,8.41,11.51,NA,NA,NA,NA,"295/35",NA
"135","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955-facelift/3-0-diesel-240-hp-tiptronic-dpf","Porsche","Cayenne (955) Facelift ","2009  ",2967,"Wagon",2855,"Common rail ",NA,"Diesel",NA,"Yes",NA,NA,4798,1928,1699,1699,3015,NA,176,236,176,NA,100,214,8.3,11.61,7.91,9.31,"5","5","6","6","235/65R17",NA
"136","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955-facelift/3-6-290-hp","Porsche","Cayenne (955) Facelift ","2007  ",3598,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4798,1928,1699,1699,2945,NA,213,285,213,NA,100,227,8.1,18.51,9.71,12.91,"5","5","6","6","235/65",NA
"137","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955-facelift/3-6-290-hp-tiptronic","Porsche","Cayenne (955) Facelift ","2007  ",3598,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4798,1928,1699,1699,2945,NA,213,285,213,NA,100,227,8.5,18.31,9.81,12.91,"5","5","6","6","235/65",NA
"138","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955-facelift/4-8-gts-405-hp","Porsche","Cayenne (955) Facelift ","2007  ",4806,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4795,1957,1675,1675,3080,NA,297,398,297,NA,100,253,6.1,22.61,10.91,15.11,"5","5","8","6","295/35R21V",NA
"139","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955-facelift/4-8-gts-405-hp-tiptronic","Porsche","Cayenne (955) Facelift ","2007  ",4806,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4795,1957,1675,1675,3080,NA,297,398,297,NA,100,251,6.5,20.61,10.21,13.91,"5","5","8","6","295/35R21V",NA
"140","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955-facelift/4-8-s-385-hp","Porsche","Cayenne (955) Facelift ","2007  ",4806,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4798,1928,1699,1699,3080,NA,282,378,282,NA,100,252,6.6,22.11,10.71,14.91,"5","5","8","6","255/55","8J"
"141","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955-facelift/4-8-s-385-hp-tiptronic","Porsche","Cayenne (955) Facelift ","2007  ",4806,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4798,1928,1699,1699,3080,NA,282,378,282,NA,100,250,6.8,20.31,9.91,13.71,"5","5","8","6","255/55","8J"
"142","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955-facelift/4-8-turbo-500-hp-tiptronic","Porsche","Cayenne (955) Facelift ","2007  ",4806,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4795,1957,1675,1675,3080,NA,367,492,367,NA,100,275,5.1,22.51,10.51,14.91,"5","5","8","6","255/55","8J"
"143","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955-facelift/4-8-turbo-s-550-hp-tiptronic","Porsche","Cayenne (955) Facelift ","2007  ",4806,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4795,1957,1675,1675,3080,NA,403,540,403,NA,100,280,4.8,NA,NA,14.91,"5","5","8","6","295/35R21V",NA
"144","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955/3-2-i-250","Porsche","Cayenne (955)","2003  ",3189,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4782,1928,1699,1699,2945,NA,183,245,183,NA,100,214,9.1,17.81,10.61,NA,"5","5","6","6","255/55","8J"
"145","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955/3-2-i-250-tiptronic-s","Porsche","Cayenne (955)","2003  ",3189,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4782,1928,1699,1699,2945,NA,183,245,183,NA,100,214,9.7,18.41,10.71,13.51,"5","5","6","6","235/65",NA
"146","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955/4-5-s-340-hp","Porsche","Cayenne (955)","2002  ",4511,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4782,1928,1699,1699,3080,NA,249,334,249,93,100,242,6.8,22.81,11.81,15.81,"5","5","8","6","255/55","8J"
"147","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955/4-5-s-340-hp-tiptronic","Porsche","Cayenne (955)","2002  ",4511,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4782,1928,1699,1699,3080,NA,249,334,249,93,100,242,7.2,20.91,11.21,14.91,"5","5","8","6","255/55","8J"
"148","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955/4-5-turbo-450-hp","Porsche","Cayenne (955)","2002  ",4511,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4782,1928,1699,1699,3080,NA,330,442,330,93,100,266,5.6,21.91,11.91,15.71,"5","5","8","6","255/55","8J"
"149","https://www.car-info.com/en/model/porsche/cayenne/cayenne-955/4-5-turbo-s-521","Porsche","Cayenne (955)","2005  ",4511,"SUV",2855,"Injection ","4","A-98",NA,"Yes",NA,NA,4786,1928,1699,1699,3080,NA,382,512,382,NA,100,270,5.2,21.91,11.91,15.71,"5","5","8","6","255/55","8J"
"150","https://www.car-info.com/en/model/porsche/cayman/cayman-ii/2-7-at-275-hp","Porsche","Cayman II","2012  ",2706,"Coupe",2475,"Injection ","4","A-95","EURO V",NA,NA,NA,4380,1801,1294,1294,1675,275,202,271,202,NA,64,264,5.6,13.61,6.51,9.11,"2","2","6","7","235/45",NA
"151","https://www.car-info.com/en/model/porsche/cayman/cayman-ii/2-7-mt-275-hp","Porsche","Cayman II","2012  ",2706,"Coupe",2475,"Injection ","4","A-95","EURO V",NA,NA,NA,4380,1801,1294,1294,1645,275,202,271,202,NA,64,266,5.7,13.81,6.91,9.41,"2","2","6","6","235/45",NA
"152","https://www.car-info.com/en/model/porsche/cayman/cayman-ii/s-3-4-at-325-hp","Porsche","Cayman II","2012  ",3436,"Coupe",2475,"Injection ","4","A-95","EURO V",NA,NA,NA,4380,1801,1294,1294,1685,275,238,319,238,NA,64,281,4.9,11.21,6.21,8100,"2","2","6","7","235/40",NA
"153","https://www.car-info.com/en/model/porsche/cayman/cayman-ii/s-3-4-mt-325-hp","Porsche","Cayman II","2012  ",3436,"Coupe",2475,"Injection ","4","A-95","EURO V",NA,NA,NA,4380,1801,1294,1294,1655,275,238,319,238,NA,64,283,5,12.21,6.91,8.81,"2","2","6","6","235/40",NA
"154","https://www.car-info.com/en/model/porsche/cayman/cayman/3-4-cayman-s-295-hp","Porsche","Cayman","2005  ",3387,"Cabrio",2415,"Injection ","4","A-95",NA,"Yes",NA,NA,4341,1801,1305,1305,1630,NA,216,289,216,NA,64,275,5.4,15.31,7.81,NA,NA,NA,"6","6",NA,NA
"155","https://www.car-info.com/en/model/porsche/cayman/cayman/2-7i-h6-245hp","Porsche","Cayman","2006  ",2687,"Cabrio",2415,"Injection ",NA,"A-98",NA,"Yes",NA,NA,4341,1801,1305,1305,1630,NA,180,241,180,NA,64,275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
